127.0.0.1 - - [23/Nov/2016:09:14:17 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/css/google-fonts/roboto/css/roboto.css HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/assets/handlebars/jsmodules/handlebars3.js HTTP/1.1" 200 63821
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/css/google-fonts/roboto/fonts/roboto-v15-greek_latin-ext_latin_vietnamese_cyrillic_greek-ext_cyrillic-ext-regular.woff2 HTTP/1.1" 200 63156
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/css/google-fonts/roboto/fonts/roboto-v15-greek_latin-ext_latin_vietnamese_cyrillic_greek-ext_cyrillic-ext-700.woff2 HTTP/1.1" 200 63396
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/css/google-fonts/roboto/fonts/roboto-v15-greek_latin-ext_latin_vietnamese_cyrillic_greek-ext_cyrillic-ext-500.woff2 HTTP/1.1" 200 63800
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/css/google-fonts/roboto/fonts/roboto-v15-greek_latin-ext_latin_vietnamese_cyrillic_greek-ext_cyrillic-ext-300.woff2 HTTP/1.1" 200 63104
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:44 -0300] "GET /jenkins/static/b99f9c72/css/icomoon/fonts/icomoon.ttf?-itxuas HTTP/1.1" 200 51116
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:45 -0300] "GET /jenkins/static/b99f9c72/favicon.ico HTTP/1.1" 200 17542
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:48 -0300] "POST /jenkins/j_acegi_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:48 -0300] "GET /jenkins/ HTTP/1.1" 200 992
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:49 -0300] "GET /jenkins/i18n/resourceBundle?baseName=jenkins.install.pluginSetupWizard&_=1479903409027 HTTP/1.1" 200 6097
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:49 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409028 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:49 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409029 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:49 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409030 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:49 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409031 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:49 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409032 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:49 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409033 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:49 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409034 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:50 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409035 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:50 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409036 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:50 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409037 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:50 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409038 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:50 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409039 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:50 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409040 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:51 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409041 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:51 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409042 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:51 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409043 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:51 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409044 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:51 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409045 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:51 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409046 HTTP/1.1" 200 72
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:51 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409047 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:51 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409048 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:51 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409049 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:52 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409050 HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:52 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409051 HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:52 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409052 HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:52 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409053 HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:52 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409054 HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:52 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409055 HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:52 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409056 HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:52 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409057 HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:52 -0300] "GET /jenkins/updateCenter/connectionStatus?siteId=default&_=1479903409058 HTTP/1.1" 200 58
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:53 -0300] "GET /jenkins/setupWizard/platformPluginList?_=1479903409059 HTTP/1.1" 200 2249
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:53 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409060 HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:53 -0300] "GET /jenkins/updateCenter/incompleteInstallStatus?_=1479903409061 HTTP/1.1" 200 25
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:53 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409062 HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:55 -0300] "GET /jenkins/pluginManager/plugins?_=1479903409063 HTTP/1.1" 200 585916
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:55 -0300] "POST /jenkins/pluginManager/installPlugins HTTP/1.1" 200 79
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:55 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409064 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:55 -0300] "GET /jenkins/static/b99f9c72/css/font-awesome/fonts/fontawesome-webfont.woff2?v=4.6.2 HTTP/1.1" 200 71760
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:55 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409065 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:56 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409066 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:56 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409067 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:56 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409068 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:56 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409069 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:57 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409070 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:57 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409071 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:57 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409072 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:57 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409073 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:58 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409074 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:58 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409075 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:58 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409076 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:59 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409077 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:59 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409078 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:59 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409079 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:16:59 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409080 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:00 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409081 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:00 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409082 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:00 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409083 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:00 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409084 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:01 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409085 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:01 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409086 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:01 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409087 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:01 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409088 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:02 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409089 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:02 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409090 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:02 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409091 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:03 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409092 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:03 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409093 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:03 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409094 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:03 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409095 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:04 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409096 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:04 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409097 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:04 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409098 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:04 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409099 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:05 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409100 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:05 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409101 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:05 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409102 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:06 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409103 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:06 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409104 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:06 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409105 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:06 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409106 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:07 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409107 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:07 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409108 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:07 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409109 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:07 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409110 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:08 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409111 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:08 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409112 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:08 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409113 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:08 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409114 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:09 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409115 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:09 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409116 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:09 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409117 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:10 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409118 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:10 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409119 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:10 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409120 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:10 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409121 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:11 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409122 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:11 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409123 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:11 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409124 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:11 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409125 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:12 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409126 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:12 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409127 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:12 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409128 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:12 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409129 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:13 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409130 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:13 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409131 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:13 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409132 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:14 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409133 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:14 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409134 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:14 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409135 HTTP/1.1" 200 9808
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:14 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409136 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:15 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409137 HTTP/1.1" 200 9805
0:0:0:0:0:0:0:1 - - [23/Nov/2016:09:17:15 -0300] "GET /jenkins/updateCenter/installStatus?_=1479903409138 HTTP/1.1" 200 9808
